total_games,100000000
state,p1_wins,p2_wins,draws
112001200,26567,52814,0
112201200,39755,19748,0
112211200,79507,0,0
112211220,159288,0,0
112211221,476140,0,0
100100022,79703,52831,0
100100122,79682,0,0
000010102,282061,74841,39807
000210102,96765,8578,26605
010210102,59820,6756,13152
010212102,49038,9979,0
010212112,59272,0,0
020012001,110302,8879,13542
020012101,72597,6550,0
020012121,59408,0,0
020112121,79933,0,0
220112121,158884,0,0
221112121,476676,0,0
101000020,282618,114557,0
101002020,114524,17638,0
101102020,66321,13021,0
101102022,49819,9741,0
101102122,59700,0,0
000201010,202250,114312,79667
002201010,74512,30977,26491
102201010,39382,13333,26312
102221010,19705,19902,19878
112221010,0,39529,39527
112221012,0,0,158183
022210101,49383,9952,0
022211101,39740,39532,0
222211101,0,119132,0
012012000,85920,32863,13082
012012001,66330,0,13177
000102021,83515,8771,39533
010102221,39443,0,19981
010112221,39435,0,39729
210112221,0,0,158409
120011020,72672,6655,0
120011022,49657,9898,0
120111022,59426,0,0
000201100,231967,46115,118458
000221100,70413,21991,39424
001221100,46220,19783,13173
001221120,49547,9914,0
011221120,79252,0,0
211221120,158500,0,0
211221121,476266,0,0
010100002,173990,222542,0
010100022,66131,66057,0
011100022,33359,46567,0
011100222,0,59507,0
210000100,212013,106328,79594
212000100,70509,21928,39959
212010100,46187,6519,26433
212010120,19904,0,39580
212110120,40093,0,39701
212110122,159128,0,0
212111122,476962,0,0
110000200,251475,145330,0
110002200,101715,30884,0
110012200,66202,13165,0
110012220,49938,9875,0
110112222,0,118909,0
022101000,77116,54457,0
122101000,59826,19749,0
122101200,39563,19630,0
122111200,59582,0,0
002011000,271699,66350,59085
022011000,86244,33365,13191
022111000,79140,0,0
000110002,262043,114138,19730
020110002,101267,17499,13279
020110012,46544,19814,13294
220110012,49800,9870,0
220110112,39993,39277,0
220112112,159368,0,0
121220011,39328,39540,0
121222011,0,118516,0
100001202,48558,57230,26531
101001202,20164,33190,26373
121001202,0,19860,39386
121001212,0,0,79040
121021212,0,0,157888
120000100,291167,66145,39752
121020100,19936,46388,13431
121022100,29681,29635,0
121122100,59310,0,0
020001000,832770,395518,158098
121001020,33056,46497,0
121001220,29916,29882,0
121101220,0,79812,0
121121220,0,119362,0
001201000,271109,86553,39835
001221000,96347,22286,13289
101221000,59613,6750,13249
101221020,49468,10201,0
111221020,59906,0,0
011000020,272029,85876,39738
011000022,86283,46352,0
011001022,32855,46491,0
011001222,0,59620,0
000210100,309134,26276,59287
200210100,109361,8926,13148
120010002,74734,17636,39403
120010102,59357,6575,13337
122010102,29654,9914,19784
101020200,87895,17663,26347
111020200,79519,0,0
012101200,32799,46247,0
012101220,29359,29971,0
012111220,59493,0,0
020111002,79278,0,0
010020210,30927,88188,13153
011020210,32995,33018,13216
011022210,29562,9813,20068
111022210,59413,0,0
221001000,109677,21947,0
221101000,59824,19646,0
221101020,49438,9827,0
221101021,59539,0,0
001000012,212281,106087,79040
021000012,66254,13085,52634
021001012,26475,13312,39776
021021012,0,19766,39635
121021012,0,0,78884
121221012,0,0,157822
012202011,49410,9865,0
112202011,39774,39663,0
112202211,159022,0,0
112212211,159022,0,0
012102000,61610,57086,13320
012102010,33316,46239,0
012102210,30066,29708,0
012112210,60172,0,0
100001220,66119,66237,0
101001220,39910,40008,0
101021220,39835,20016,0
111021220,59822,0,0
100002100,281961,114842,0
120002100,114261,17534,0
120002101,65862,13269,0
122002101,59258,0,0
122002111,59140,0,0
210100000,171638,124773,99497
210100200,70119,34845,26744
210101221,79546,0,0
210121221,158944,0,0
012020001,43943,61239,26496
012221001,19699,19772,19728
012221011,39455,39485,0
012221211,0,119033,0
