total_games,1000000
state,p1_wins,p2_wins,draws
000000021,9045,2672,2347
001000021,2916,653,400
021002121,392,202,0
021102121,422,392,0
012000001,2201,1070,823
012000021,672,132,533
012100021,381,116,267
012102021,383,0,197
112102021,747,0,0
112122021,1579,0,0
112122121,4865,0,0
000000121,1965,1038,919
000020121,332,592,396
000021121,194,316,259
000221121,305,103,177
001221121,598,0,0
200002110,1066,319,0
200012110,682,136,0
220012110,491,96,0
221012110,526,0,0
010000201,2057,1475,403
210000201,475,538,242
210010201,297,300,139
212010201,484,93,0
212110201,823,0,0
212110221,1577,0,0
212111221,4700,0,0
020010100,2973,754,199
020012100,1146,215,0
021012100,777,0,0
001122000,655,234,417
101122000,580,65,137
101122200,398,0,219
121122210,0,0,1618
121122211,0,0,7824
000120100,2182,1467,408
000120102,702,613,0
001120102,321,455,0
201120102,0,633,0
001001200,2180,1349,406
011001202,193,565,0
211001202,0,567,0
211001212,0,741,0
211021212,0,1194,0
020110000,2851,641,434
020110020,1213,107,0
020111020,747,0,0
200100120,595,373,388
200110120,564,55,125
220110120,502,95,0
220110121,418,392,0
222110121,0,1200,0
000001102,2194,1037,785
200001102,744,604,0
200101102,335,494,0
220101102,306,315,0
001021000,2147,1550,410
001021200,843,291,132
001021201,806,0,0
210210000,852,291,132
210212001,485,114,0
211212001,343,407,0
211212201,0,1218,0
001000200,7487,3438,2785
001121200,315,321,134
001121220,299,325,0
200112201,182,0,352
210112201,371,0,374
212112201,1542,0,0
012200001,750,334,249
012201001,288,263,257
212201001,208,189,200
212211001,0,381,416
020101200,892,314,132
020111200,821,0,0
200010010,2633,1183,212
221010012,642,0,0
221011012,807,0,0
100020102,921,177,270
110020102,546,142,109
110020122,622,0,0
110120122,560,0,0
110002000,2572,1331,0
110202000,901,380,0
111202000,762,0,0
110020000,2059,1464,377
110020002,916,337,115
110021002,484,207,132
110021022,499,123,0
110121022,394,427,0
110121222,0,1268,0
200001001,2258,1324,394
202001001,330,702,297
202011001,191,442,140
202211001,0,373,209
100200100,1924,975,989
120200100,813,202,311
120210100,703,0,156
120210120,616,0,0
121210120,624,0,0
110002020,1143,156,0
110002120,600,124,0
110222121,0,1173,0
000100021,2166,995,822
200100021,614,189,529
201120021,283,135,196
211120021,389,0,428
211120221,1569,0,0
211121221,4766,0,0
000202110,913,431,0
102000010,2082,1575,382
122000010,972,221,130
122010010,524,132,146
122210010,376,0,198
122210011,581,0,0
200000110,2504,1421,0
200020110,700,597,0
210020110,305,435,0
212020110,383,188,0
212020111,619,0,0
002001000,7003,4569,2374
002101000,2103,1643,185
002101002,1013,347,0
002101012,457,309,0
002121012,207,382,0
012121012,0,801,0
212121012,0,1200,0
000002101,2905,674,400
000022101,798,428,128
100022101,421,403,0
120022101,436,175,0
120122101,635,0,0
100002120,1144,172,0
210000100,2163,1049,809
210020100,412,635,265
210020101,424,63,278
210022101,263,93,187
210022111,559,0,0
000110002,2664,1152,217
200110002,1141,173,0
200111002,836,0,0
002120010,510,834,0
002122011,362,218,0
102122011,382,424,0
122122011,1575,0,0
122122111,1575,0,0
010000221,976,221,123
211010221,0,384,404
211210221,0,1150,0
002010000,9047,3229,1610
002010021,1002,88,241
002011021,619,62,110
002011221,626,0,0
012011221,758,0,0
212011221,1580,0,0
102201001,499,116,147
102201021,393,0,217
102211021,564,0,0
020010201,1058,190,130
021010201,574,75,121
221010201,334,112,203
221110201,391,0,434
221112201,0,0,1631
020010001,3014,765,209
020012001,1111,93,121
020012011,607,73,123
022012011,502,99,0
122012011,651,0,0
201001120,562,172,0
201021120,309,282,0
201121120,0,796,0
201121122,0,1157,0
001012021,670,0,121
201012021,391,0,189
201112021,445,0,385
221112021,1573,0,0
200010210,836,456,122
201010210,341,327,148
201210210,0,579,0
000200101,2925,668,403
002200101,960,92,283
002210101,581,67,136
002212101,588,0,0
102212101,592,0,0
120000100,2887,660,405
120002100,1145,182,0
121002100,625,181,0
121002120,519,88,0
121002121,392,361,0
121022121,0,1156,0
010010002,2652,1150,189
010010202,809,519,0
011010202,432,425,0
011210202,436,208,0
011210212,568,0,0
100000002,7583,3679,2760
100010002,2012,1281,786
100010202,531,557,240
101010202,174,306,227
101012202,291,99,209
101112202,0,410,459
121112202,0,0,1625
002011000,2669,674,560
002011020,945,87,247
002011120,456,60,255
002011122,393,0,204
102011122,374,0,363
010212000,1213,78,0
011212000,699,70,0
011212002,573,0,0
011212102,563,0,0
102001020,729,306,260
102001021,394,286,157
200001201,741,510,0
200211201,0,564,0
200002111,850,0,0
200000011,2174,1354,350
200000211,346,718,238
201000211,238,354,257
201002211,0,186,390
201012211,0,401,396
201212211,0,1173,0
000010102,2793,753,436
020010102,977,161,156
021010102,786,0,0
010000021,2381,475,1247
010200021,868,206,289
010210021,505,149,141
010212021,580,0,0
211212021,1508,0,0
211212121,4624,0,0
021000100,2810,918,188
021200100,1028,163,137
021200101,653,123,0
221200101,584,0,0
221200111,580,0,0
020110002,982,176,135
000110200,2693,640,658
020110200,998,78,278
021110200,454,63,271
021112200,196,0,449
000112200,643,199,414
010112200,489,191,137
010112220,197,188,205
011112220,0,395,398
211112220,0,0,1620
211112221,0,0,7957
000021010,1542,1871,571
020021010,666,365,244
021021010,382,151,269
021221010,373,0,193
021221110,387,0,409
021221112,0,0,1495
121221112,0,0,7794
200001010,1776,2157,0
220001010,643,659,0
220101010,292,448,0
220101012,294,275,0
220101112,0,809,0
100200021,1020,178,107
100210021,817,0,0
002110000,2632,1140,197
002110002,786,551,0
002110012,404,383,0
202110012,397,189,0
212110012,549,0,0
010000210,2116,1686,186
010200210,804,554,0
110200210,638,185,0
110220210,296,283,0
111220210,579,0,0
212001000,736,324,272
212011000,628,63,159
212011200,525,109,0
212111200,606,0,0
120101200,316,358,119
120121200,0,452,216
121121200,0,421,391
